iter	Passed	Remaining
0	65	32524
1	71	17812
2	78	13023
3	86	10705
4	94	9402
5	102	8410
6	108	7623
7	114	7045
8	120	6570
9	126	6194
10	133	5920
11	138	5651
12	145	5432
13	150	5240
14	156	5066
15	162	4917
16	168	4786
17	174	4672
18	180	4564
19	186	4470
20	192	4383
21	197	4294
22	203	4223
23	209	4157
24	214	4082
25	220	4027
26	227	3977
27	233	3928
28	238	3881
29	244	3837
30	251	3797
31	256	3755
32	262	3717
33	268	3681
34	274	3644
35	280	3611
36	285	3576
37	291	3546
38	297	3519
39	303	3493
40	309	3462
41	315	3440
42	321	3419
43	327	3397
44	333	3373
45	339	3351
46	345	3331
47	351	3309
48	357	3290
49	362	3266
50	369	3249
51	375	3232
52	381	3215
53	387	3200
54	393	3185
55	399	3168
56	405	3153
57	411	3136
58	417	3122
59	424	3110
60	430	3097
61	436	3083
62	442	3072
63	449	3062
64	455	3049
65	462	3038
66	468	3027
67	474	3015
68	481	3005
69	487	2993
70	493	2981
71	500	2973
72	506	2963
73	512	2953
74	519	2942
75	525	2933
76	532	2924
77	538	2912
78	545	2904
79	551	2894
80	557	2883
81	563	2873
82	569	2862
83	575	2851
84	581	2841
85	588	2831
86	594	2820
87	600	2810
88	606	2799
89	612	2789
90	618	2778
91	624	2769
92	630	2759
93	636	2749
94	642	2739
95	648	2729
96	654	2720
97	660	2710
98	666	2700
99	672	2690
100	678	2681
101	684	2671
102	691	2663
103	697	2654
104	703	2647
105	710	2639
106	715	2629
107	722	2620
108	728	2611
109	734	2603
110	740	2595
111	747	2588
112	753	2579
113	759	2571
114	765	2562
115	771	2554
116	777	2545
117	783	2536
118	789	2528
119	795	2519
120	801	2512
121	808	2503
122	814	2495
123	820	2487
124	826	2478
125	832	2470
126	838	2462
127	844	2455
128	850	2447
129	857	2439
130	863	2431
131	870	2426
132	875	2417
133	882	2410
134	888	2402
135	895	2395
136	901	2388
137	907	2381
138	914	2374
139	920	2367
140	926	2359
141	933	2353
142	939	2346
143	946	2339
144	952	2331
145	958	2324
146	964	2317
147	971	2309
148	976	2301
149	983	2294
150	989	2288
151	996	2280
152	1002	2274
153	1009	2266
154	1015	2260
155	1021	2252
156	1027	2245
157	1034	2238
158	1040	2231
159	1046	2223
160	1053	2217
161	1059	2209
162	1066	2204
163	1072	2198
164	1079	2191
