model,cv_roc_auc_mean,cv_roc_auc_std,cv_log_loss_mean,cv_log_loss_std,cv_accuracy_mean,cv_accuracy_std,test_roc_auc,test_log_loss,test_brier,test_accuracy,best_threshold,best_params
voting_ensemble,,,,,,,0.6652272785324623,0.6339710868231136,0.2227325393326017,0.6338996948025327,0.47,"Voting: ['lightgbm', 'hist_gb', 'gb', 'xgboost', 'catboost']"
xgboost,0.6631096087778824,0.002048060304180717,0.6353065967559814,0.001009308060632319,0.6309687879638896,0.0003550261935274215,0.664928216685525,0.6338984370231628,0.22272084653377533,0.6347424042272127,0.49,"{'n_estimators': 353, 'max_depth': 7, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'reg_alpha': 7.6204817861585425, 'reg_lambda': 0.08916674715636552, 'min_child_weight': 2}"
lightgbm,0.6624583633434398,0.0019687938485910043,0.6355101759740657,0.0009345973054243291,0.6306613089156228,0.00035716591614658747,0.6646289693680607,0.6339601672011518,0.22277181552410313,0.6352434746959413,0.49,"{'n_estimators': 563, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'num_leaves': 84, 'subsample': 0.6682096494749166, 'colsample_bytree': 0.6260206371941118, 'reg_alpha': 3.4671276804481113, 'reg_lambda': 4.905556676028766, 'min_child_samples': 42}"
hist_gb,0.6619892038066013,0.0017577952105130399,0.6358710081968478,0.0008476001237771017,0.631316122880159,0.00010901937756921836,0.6645379022973732,0.6344134018675452,0.22291675991937174,0.6349473876007835,0.5,"{'max_iter': 339, 'max_depth': 12, 'learning_rate': 0.01351182947645082, 'max_leaf_nodes': 38, 'min_samples_leaf': 7, 'l2_regularization': 8.471746987003668e-06}"
gb,0.6621356748462898,0.0020130241924493975,0.6358080905185961,0.0008714090791273942,0.6316748508843584,0.0005045628987230691,0.6642959747504509,0.634615384467483,0.2229801106927766,0.6350612672527672,0.48,"{'n_estimators': 433, 'max_depth': 4, 'learning_rate': 0.01855998084649058, 'subsample': 0.6733618039413735, 'min_samples_split': 7, 'min_samples_leaf': 6}"
catboost,0.6624903097078368,0.0015324235968604471,0.635676604818772,0.000710154695890166,0.631492642987295,0.0009717184047994082,0.6641693921577965,0.6346427350258131,0.22297380286504062,0.6330114335170591,0.47,"{'iterations': 850, 'depth': 5, 'learning_rate': 0.01855998084649058, 'l2_leaf_reg': 4.4734294104626844e-07, 'bagging_temperature': 0.3042422429595377, 'random_strength': 0.00052821153945323}"
rf,0.6614393833813188,0.0020297650879629223,0.6360250489378502,0.0009188092919168496,0.6311111395066148,0.0007836989763860241,0.6629536516092739,0.6349144906433356,0.223131512474161,0.6335352799161845,0.5,
extra_trees,0.6596785177976563,0.0023239520018540068,0.6368962840454687,0.0009034980522715909,0.6311623887543487,0.0007433613662401081,0.661980504426026,0.6356871558300445,0.22345428758781477,0.6337402632897554,0.52,
log_reg,0.6582581913362267,0.002164663692143581,0.6379260043442456,0.0009193331958036665,0.6302000950606762,0.0009421134877948137,0.6600064186556309,0.6366180256829945,0.2238869830437437,0.6331480890994398,0.51,
mlp,0.6589825986722958,0.0022588962735585498,0.6371917250256599,0.0011551554388467015,0.6306613148489149,0.0011361252653366819,0.6581614703864972,0.6366248208322954,0.22385603510479832,0.6337402632897554,0.5,
adaboost,0.6414231701932159,0.0014997806660664882,0.6484917256240305,0.0007090160550931352,0.6262427380858081,0.0015199643805103064,0.6451179304863509,0.6466833421583398,0.2281156360943648,0.6317359814148408,0.53,
naive_bayes,0.639897830034499,0.0013414804519710603,7.849270178908355,0.09428049397367985,0.6187436777004169,0.001560050179007501,0.6433051498919763,7.722906353500615,0.37395216377787516,0.6218967794834419,0.9,
knn,0.6263329334082607,0.0009415770135398449,0.7330492987967508,0.0008185426215171388,0.598768945003929,0.0005884898254795041,0.6271579441103906,0.7309093096406211,0.2404483103309391,0.6077301507766593,0.62,
