model,cv_roc_auc_mean,cv_roc_auc_std,cv_log_loss_mean,cv_log_loss_std,cv_accuracy_mean,cv_accuracy_std,test_roc_auc,test_log_loss,test_brier,test_accuracy,best_threshold,best_params
voting_ensemble,,,,,,,0.6668894612268539,0.6332041830655689,0.22237622987465097,0.6364278230765726,0.48,"Voting: ['lightgbm', 'hist_gb', 'gb', 'xgboost', 'catboost']"
lightgbm,0.6634750128445117,0.0018571917606991799,0.6349448900006986,0.0009275880608094807,0.6320677417142107,0.0006643517588932694,0.6664478684058854,0.6330847892997632,0.22235699483465432,0.6351068191135608,0.5,"{'n_estimators': 563, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'num_leaves': 84, 'subsample': 0.6682096494749166, 'colsample_bytree': 0.6260206371941118, 'reg_alpha': 3.4671276804481113, 'reg_lambda': 4.905556676028766, 'min_child_samples': 42}"
hist_gb,0.6625377373228302,0.0018596405618182827,0.6354993600320867,0.0008304922820922604,0.6317374823261092,0.00033201883284796557,0.6660224792487603,0.6338356107525954,0.22264171733524163,0.6361772878422084,0.5,"{'max_iter': 339, 'max_depth': 12, 'learning_rate': 0.01351182947645082, 'max_leaf_nodes': 38, 'min_samples_leaf': 7, 'l2_regularization': 8.471746987003668e-06}"
xgboost,0.6638960156061505,0.001922536147373092,0.6349137624104818,0.0010062765981077185,0.6317887321574455,0.0005141328893263773,0.6659941335172189,0.6334100365638733,0.22248093783855438,0.6351523709743543,0.48,"{'n_estimators': 353, 'max_depth': 7, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'reg_alpha': 7.6204817861585425, 'reg_lambda': 0.08916674715636552, 'min_child_weight': 2}"
gb,0.6633530312240323,0.002090916782324648,0.6351653833243422,0.001077666687569721,0.6316919305950108,0.00021692275333320588,0.6659564319437605,0.6336567535709142,0.22256344379792548,0.6350157153919738,0.49,"{'n_estimators': 282, 'max_depth': 7, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'min_samples_split': 13, 'min_samples_leaf': 1}"
catboost,0.6634579968055799,0.0014188568118173354,0.6352019426010043,0.0007419937423299752,0.6325004931781527,0.0013296036448778603,0.6658811600849696,0.6338001934027335,0.22260427951651884,0.6354484580695121,0.48,"{'iterations': 850, 'depth': 5, 'learning_rate': 0.01855998084649058, 'l2_leaf_reg': 4.4734294104626844e-07, 'bagging_temperature': 0.3042422429595377, 'random_strength': 0.00052821153945323}"
rf,0.6615817275803065,0.002202691183260748,0.6360033342544288,0.0009131232191291986,0.631321819521391,0.0007528536185398647,0.6642789604345289,0.6345881617335274,0.22296378087419177,0.6347651801576094,0.48,
extra_trees,0.6597264614262573,0.0021938655944829144,0.6369825537639521,0.0009269705733821266,0.6312136365430764,0.0009284718038662739,0.6630802123205741,0.6355897464077602,0.22337614889411772,0.6337402632897554,0.52,
log_reg,0.6590761588915607,0.0016793682044087621,0.6375734542397155,0.0008169679775129042,0.6309744832433823,0.0006506059979235029,0.6623542150341413,0.6358376925854317,0.22351699042856166,0.6336947114289618,0.5,
mlp,0.6593940793412928,0.0023820738147032486,0.6381935516745347,0.0006325662991349441,0.6313218158252419,0.00015939649582608843,0.6612392141568761,0.6373839602135528,0.22423567639235578,0.6314626702500797,0.53,
adaboost,0.6414231701932159,0.0014997806660664882,0.6484917256240305,0.0007090160550931352,0.6262427380858081,0.0015199643805103064,0.6451179304863509,0.6466833421583398,0.2281156360943648,0.6317359814148408,0.53,
naive_bayes,0.640686858494152,0.0011847945514353675,7.836437496831434,0.09578582332006746,0.618880334644519,0.0015075924517827953,0.6445204632331052,7.70856134294903,0.3733720273275326,0.6234227668200246,0.11,
knn,0.626885743965923,0.000939728633861001,0.7252343659973075,0.0002802827055739276,0.6004088224971277,0.0012597546232300594,0.6292871988998788,0.7188127391703614,0.23871007906395433,0.6094155696260192,0.61,
