personId,playerFullName
708,Kevin Garnett
951,Ray Allen
959,Steve Nash
965,Derek Fisher
977,Kobe Bryant
979,Jermaine O'Neal
1495,Tim Duncan
1497,Chauncey Billups
1536,Stephen Jackson
1712,Antawn Jamison
1713,Vince Carter
1717,Dirk Nowitzki
1718,Paul Pierce
1733,Al Harrington
1737,Nazr Mohammed
1740,Rashard Lewis
1882,Elton Brand
1885,Lamar Odom
1889,Andre Miller
1890,Shawn Marion
1891,Jason Terry
1897,Metta World Peace
1905,Andrei Kirilenko
1938,Manu Ginobili
2030,Kenyon Martin
2034,Mike Miller
2037,Jamal Crawford
2045,Hedo Turkoglu
2199,Tyson Chandler
2200,Pau Gasol
2202,Jason Richardson
2203,Shane Battier
2207,Joe Johnson
2210,Richard Jefferson
2215,Jason Collins
2216,Zach Randolph
2217,Brendan Haywood
2222,Gerald Wallace
2223,Samuel Dalembert
2224,Jamaal Tinsley
2225,Tony Parker
2229,Mike James
2248,Earl Watson
2365,Chris Andersen
2399,Mike Dunleavy
2400,Drew Gooden
2403,Nene
2405,Amar'e Stoudemire
2406,Caron Butler
2408,Melvin Ely
2419,Tayshaun Prince
2422,John Salmons
2427,Roger Mason Jr.
2430,Carlos Boozer
2440,Matt Barnes
2446,Rasual Butler
2449,Luis Scola
2457,Jannero Pargo
2501,Reggie Evans
2544,LeBron James
2546,Carmelo Anthony
2547,Chris Bosh
2548,Dwyane Wade
2549,Chris Kaman
2550,Kirk Hinrich
2555,Nick Collison
2557,Luke Ridnour
2561,David West
2563,Dahntay Jones
2564,Boris Diaw
2566,Travis Outlaw
2568,Carlos Delfino
2570,Kendrick Perkins
2571,Leandro Barbosa
2581,Steve Blake
2584,Willie Green
2585,Zaza Pachulia
2586,Keith Bogans
2588,Matt Bonner
2590,Mo Williams
2592,James Jones
2594,Kyle Korver
2617,Udonis Haslem
2694,Josh Powell
2730,Dwight Howard
2731,Emeka Okafor
2732,Ben Gordon
2733,Shaun Livingston
2734,Devin Harris
2735,Josh Childress
2736,Luol Deng
2738,Andre Iguodala
2740,Andris Biedrins
2742,Sebastian Telfair
2743,Kris Humphries
2744,Al Jefferson
2746,Josh Smith
2747,JR Smith
2748,Dorell Wright
2749,Jameer Nelson
2754,Tony Allen
2755,Kevin Martin
2756,Sasha Vujacic
2757,Beno Udrih
2760,Anderson Varejao
2767,Royal Ivey
2772,Trevor Ariza
2853,Earl Barron
2863,Damien Wilkins
101106,Andrew Bogut
101107,Marvin Williams
101108,Chris Paul
101109,Raymond Felton
101110,Martell Webster
101111,Charlie Villanueva
101112,Channing Frye
101114,Deron Williams
101115,Andrew Bynum
101122,Danny Granger
101123,Gerald Green
101126,Nate Robinson
101127,Jarrett Jack
101128,Francisco Garcia
101131,Jason Maxiell
101133,Ian Mahinmi
101135,David Lee
101138,Brandon Bass
101139,CJ Miles
101141,Ersan Ilyasova
101142,Ronny Turiaf
101145,Monta Ellis
101150,Lou Williams
101154,Andray Blatche
101155,Ryan Gomes
101161,Amir Johnson
101162,Marcin Gortat
101179,Ronnie Price
101181,Jose Calderon
101183,Shavlik Randolph
101187,Alan Anderson
101198,Will Bynum
101236,Chuck Hayes
101249,John Lucas III
200745,Andrea Bargnani
200746,LaMarcus Aldridge
200748,Tyrus Thomas
200751,Randy Foye
200752,Rudy Gay
200755,JJ Redick
200756,Hilton Armstrong
200757,Thabo Sefolosha
200758,Ronnie Brewer
200761,Shawne Williams
200765,Rajon Rondo
200768,Kyle Lowry
200769,Shannon Brown
200770,Jordan Farmar
200771,Sergio Rodriguez
200777,Joel Freeland
200779,Steve Novak
200780,Solomon Jones
200782,P.J. Tucker
200794,Paul Millsap
200797,Ryan Hollins
200811,Lou Amundson
200826,J.J. Barea
200839,Mike Harris
201141,Greg Oden
201142,Kevin Durant
201143,Al Horford
201144,Mike Conley
201145,Jeff Green
201147,Corey Brewer
201148,Brandan Wright
201149,Joakim Noah
201150,Spencer Hawes
201152,Thaddeus Young
201155,Rodney Stuckey
201156,Nick Young
201158,Marco Belinelli
201160,Jason Smith
201162,Jared Dudley
201163,Wilson Chandler
201166,Aaron Brooks
201167,Arron Afflalo
201168,Tiago Splitter
201171,Carl Landry
201175,Glen Davis
201177,Josh McRoberts
201188,Marc Gasol
201189,Aaron Gray
201196,Ramon Sessions
201202,Joel Anthony
201203,Mustafa Shakur
201228,C.J. Watson
201229,Anthony Tolliver
201281,Andre Ingram
201563,Michael Beasley
201564,O.J. Mayo
201565,Derrick Rose
201566,Russell Westbrook
201567,Kevin Love
201568,Danilo Gallinari
201569,Eric Gordon
201571,D.J. Augustin
201572,Brook Lopez
201573,Jerryd Bayless
201574,Jason Thompson
201575,Brandon Rush
201576,Anthony Randolph
201577,Robin Lopez
201578,Marreese Speights
201579,Roy Hibbert
201580,JaVale McGee
201581,JJ Hickson
201582,Alexis Ajinca
201583,Ryan Anderson
201584,Courtney Lee
201585,Kosta Koufos
201586,Serge Ibaka
201587,Nicolas Batum
201588,George Hill
201589,Darrell Arthur
201591,DJ White
201593,Nikola Pekovic
201595,Joey Dorsey
201596,Mario Chalmers
201599,DeAndre Jordan
201600,Omer Asik
201601,Luc Mbah a Moute
201603,Sonny Weems
201604,Chris Douglas-Roberts
201609,Goran Dragic
201611,Henry Walker
201619,Sasha Kaun
201627,Anthony Morrow
201628,Bobby Brown
201785,Othyus Jeffers
201858,Cartier Martin
201880,Greg Stiemsma
201933,Blake Griffin
201934,Hasheem Thabeet
201935,James Harden
201936,Tyreke Evans
201937,Ricky Rubio
201939,Stephen Curry
201941,Jordan Hill
201942,DeMar DeRozan
201943,Brandon Jennings
201945,Gerald Henderson
201946,Tyler Hansbrough
201947,Earl Clark
201948,Austin Daye
201949,James Johnson
201950,Jrue Holiday
201951,Ty Lawson
201952,Jeff Teague
201953,Eric Maynor
201954,Darren Collison
201956,Omri Casspi
201957,Byron Mullens
201959,Taj Gibson
201960,DeMarre Carroll
201961,Wayne Ellington
201962,Toney Douglas
201964,Victor Claver
201965,Jeff Ayres
201967,Dante Cunningham
201971,DeJuan Blair
201973,Jonas Jerebko
201975,Jodie Meeks
201976,Patrick Beverley
201977,Marcus Thornton
201978,Chase Budinger
201979,Nick Calathes
201980,Danny Green
201985,AJ Price
201986,Nando De Colo
201988,Patty Mills
201991,Lester Hudson
202066,Garrett Temple
202077,Jerel McNeal
202083,Wesley Matthews
202087,Alonzo Gee
202091,Dionte Christmas
202130,Reggie Williams
202197,Shane Edwards
202322,John Wall
202323,Evan Turner
202324,Derrick Favors
202325,Wesley Johnson
202326,DeMarcus Cousins
202327,Ekpe Udoh
202328,Greg Monroe
202329,Al-Farouq Aminu
202330,Gordon Hayward
202331,Paul George
202332,Cole Aldrich
202333,Xavier Henry
202334,Ed Davis
202335,Patrick Patterson
202336,Larry Sanders
202337,Luke Babbitt
202338,Kevin Seraphin
202339,Eric Bledsoe
202340,Avery Bradley
202341,James Anderson
202343,Elliot Williams
202344,Trevor Booker
202345,Damion James
202347,Quincy Pondexter
202348,Jordan Crawford
202349,Greivis Vasquez
202350,Daniel Orton
202353,Tibor Pleiss
202354,Dexter Pittman
202355,Hassan Whiteside
202357,Nemanja Bjelica
202361,Landry Fields
202362,Lance Stephenson
202363,Jarvis Varnado
202366,Jerome Jordan
202379,Jeremy Evans
202380,Hamady Ndiaye
202388,Donald Sloan
202389,Timofey Mozgov
202390,Gary Neal
202391,Jeremy Lin
202397,Ish Smith
202399,Jeff Adrien
202407,Elijah Millsap
202412,Manny Harris
202498,Lance Thomas
202620,Arinze Onuaku
202681,Kyrie Irving
202682,Derrick Williams
202683,Enes Freedom
202684,Tristan Thompson
202685,Jonas Valančiūnas
202686,Jan Vesely
202687,Bismack Biyombo
202688,Brandon Knight
202689,Kemba Walker
202690,Jimmer Fredette
202691,Klay Thompson
202692,Alec Burks
202693,Markieff Morris
202694,Marcus Morris Sr.
202695,Kawhi Leonard
202696,Nikola Vučević
202697,Iman Shumpert
202698,Chris Singleton
202699,Tobias Harris
202700,Donatas Motiejunas
202702,Kenneth Faried
202703,Nikola Mirotic
202704,Reggie Jackson
202705,MarShon Brooks
202706,Jordan Hamilton
202708,Norris Cole
202709,Cory Joseph
202710,Jimmy Butler III
202711,Bojan Bogdanovic
202712,Justin Harper
202713,Kyle Singler
202714,Shelvin Mack
202718,Chandler Parsons
202719,Jeremy Tyler
202720,Jon Leuer
202721,Darius Morris
202722,Davis Bertans
202723,Malcolm Lee
202725,Josh Harrellson
202726,Andrew Goudelock
202730,Lavoy Allen
202732,DeAndre Liggins
202734,E'Twaun Moore
202738,Isaiah Thomas
202779,Dwight Buycks
202874,Chris Wright
202918,Xavier Silas
202933,Julyan Stone
