name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"DeAndre Jordan","Los Angeles Clippers",2016-02-18,2015,3442,1610612746,0,4,8,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-29,2015,3442,1610612746,400828134,1,3,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,"Payne, Adreian",4.00,8.20
"LeBron James","Cleveland Cavaliers",2016-02-26,2015,1966,1610612739,400828751,4,5,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-07,2015,3442,1610612746,400827980,3,5,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,"Howard, Dwight",4.70,15.10
"Jon Leuer","Phoenix Suns",2015-12-13,2015,6452,1610612756,400828240,3,4,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.20,"Martin, Kevin",6.10,19.70
"DeAndre Jordan","Los Angeles Clippers",2015-10-28,2015,3442,1610612746,400827903,4,1,15,1,"Alley Oop Dunk Shot","2PT Field Goal",4,"Sacramento Kings",-27,40,0,0.80,"Cousins, DeMarcus",3.50,6.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-24,2015,3442,1610612746,400828553,3,8,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-25,2015,3442,1610612746,400828113,4,9,23,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,"Hood, Rodney",5.20,19.30
"DeAndre Jordan","Los Angeles Clippers",2016-01-24,2015,3442,1610612746,400828553,1,2,22,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Toronto Raptors",13,14,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-04,2015,3442,1610612746,400827956,1,8,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,"Ezeli, Festus",5.10,13.00
"Alex Len","Phoenix Suns",2016-01-03,2015,2596107,1610612756,400828397,3,6,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,"Hibbert, Roy",2.40,15.80
"DeAndre Jordan","Los Angeles Clippers",2015-10-31,2015,3442,1610612746,400827925,1,5,41,0,"Alley Oop Dunk Shot","2PT Field Goal",2,"Sacramento Kings",27,10,0,9.10,"Rondo, Rajon",1.00,24.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-25,2015,3442,1610612746,400828327,1,3,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.60,"Randle, Julius",2.30,13.60
"Kosta Koufos","Sacramento Kings",2015-11-25,2015,3444,1610612758,400828108,1,3,41,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.00,"Parker, Jabari",2.70,7.30
"DeAndre Jordan","Los Angeles Clippers",2016-01-09,2015,3442,1610612746,400828437,4,0,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,"Williams, Marvin",3.10,0.00
"Brook Lopez","Brooklyn Nets",2015-11-14,2015,3448,1610612751,400828031,3,2,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,"Bogut, Andrew",3.70,24.00
"DeAndre Jordan","Los Angeles Clippers",2016-01-09,2015,3442,1610612746,400828437,4,3,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,1,0.60,"Zeller, Cody",5.60,24.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-22,2015,3442,1610612746,400828083,4,3,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Joseph, Cory",0.40,17.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-18,2015,3442,1610612746,0,4,1,32,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",6,16,0,0.00,,0.00,0.00
"Kawhi Leonard","San Antonio Spurs",2015-10-30,2015,6450,1610612759,400827915,3,6,06,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Brooklyn Nets",25,-13,1,0.40,"Johnson, Joe",5.80,24.00
"DeAndre Jordan","Los Angeles Clippers",2016-02-18,2015,3442,1610612746,0,4,6,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Josh McRoberts","Miami Heat",2015-10-30,2015,3220,1610612748,400827908,1,1,33,1,"Alley Oop Dunk Shot","2PT Field Goal",3,"Cleveland Cavaliers",-30,-12,0,1.00,"Smith, J.R.",4.30,9.60
"DeAndre Jordan","Los Angeles Clippers",2016-02-26,2015,3442,1610612746,400828754,3,2,59,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-12,2015,3442,1610612746,400828013,1,4,12,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,"Leuer, Jon",2.10,18.90
"Serge Ibaka","Oklahoma City Thunder",2015-12-25,2015,3439,1610612760,400828324,2,0,50,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,"Gasol, Pau",2.60,13.90
"Serge Ibaka","Oklahoma City Thunder",2015-12-03,2015,3439,1610612760,400828164,4,4,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.50,"Johnson, Tyler",5.20,24.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-19,2015,3442,1610612746,400828288,2,8,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.80,"Jones, Terrence",2.40,12.00
"Ian Mahinmi","Indiana Pacers",2015-12-02,2015,2774,1610612754,400828163,1,3,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,"Rivers, Austin",4.70,20.50
"DeAndre Jordan","Los Angeles Clippers",2016-02-26,2015,3442,1610612746,400828754,2,6,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2015-12-04,2015,4298,1610612739,400828175,1,9,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,"Gordon, Eric",3.50,23.00
"Markieff Morris","Washington Wizards",2016-03-08,2015,6461,1610612764,400828835,3,9,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Cleveland Cavaliers",2015-12-04,2015,4298,1610612739,400828175,3,11,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,"Asik, Omer",4.80,11.00
"DeAndre Jordan","Los Angeles Clippers",2015-12-19,2015,3442,1610612746,400828288,3,6,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,"Harden, James",13.40,9.30
"DeAndre Jordan","Los Angeles Clippers",2015-11-02,2015,3442,1610612746,400827939,2,6,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,"Warren, TJ",3.70,18.90
"DeAndre Jordan","Los Angeles Clippers",2015-12-25,2015,3442,1610612746,400828327,3,8,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,1,0.50,"Hibbert, Roy",6.90,24.00
"DeAndre Jordan","Los Angeles Clippers",2015-11-22,2015,3442,1610612746,400828083,1,0,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.40,"Carroll, DeMarre",7.90,16.10
"JaVale McGee","Dallas Mavericks",2016-01-10,2015,3452,1610612742,400828444,3,1,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,"Pekovic, Nikola",1.30,7.70
"Wesley Johnson","Los Angeles Clippers",2015-11-19,2015,4247,1610612746,400828064,2,2,07,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,"Bogut, Andrew",5.60,14.40
"DeAndre Jordan","Los Angeles Clippers",2015-12-25,2015,3442,1610612746,400828327,2,2,41,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.80,"Nance Jr., Larry",2.30,7.90
"DeAndre Jordan","Los Angeles Clippers",2015-11-22,2015,3442,1610612746,400828083,1,8,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Scola, Luis",6.60,17.70
"Timofey Mozgov","Cleveland Cavaliers",2016-01-30,2015,4298,1610612739,400828600,2,4,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2015-11-17,2015,2386,1610612744,400828051,2,2,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"Scola, Luis",11.70,19.20
