name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Hassan Whiteside","Miami Heat",2016-01-19,2015,4262,1610612748,400828512,1,4,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.20,"Bayless, Jerryd",3.40,24.00
"Klay Thompson","Golden State Warriors",2015-11-20,2015,6475,1610612744,400828074,1,10,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,1,0.90,"Mirotic, Nikola",4.00,24.00
"Nerlens Noel","Philadelphia 76ers",2016-01-30,2015,2991280,1610612755,400828594,4,7,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2015-11-13,2015,3136195,1610612750,400828014,1,7,46,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Indiana Pacers",-7,13,0,0.00,"Hill, George",5.50,18.60
"John Wall","Washington Wizards",2016-02-26,2015,4237,1610612764,400828749,2,1,08,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2015-11-04,2015,6474,1610612739,400827950,2,11,10,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,1,0.80,"Seraphin, Kevin",4.30,14.20
"Justise Winslow","Miami Heat",2016-01-19,2015,3135047,1610612748,400828512,2,5,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.70,"Vaughn, Rashad",3.70,20.00
"Hassan Whiteside","Miami Heat",2015-11-01,2015,4262,1610612748,400827928,4,1,30,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Houston Rockets",-24,7,0,0.00,"Ariza, Trevor",4.50,6.40
"Russell Westbrook","Oklahoma City Thunder",2016-01-19,2015,3468,1610612760,400828514,4,1,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,"Faried, Kenneth",3.80,12.80
"Tristan Thompson","Cleveland Cavaliers",2015-11-27,2015,6474,1610612739,400828114,2,11,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.60,"Williams, Marvin",5.10,12.50
"Derrick Williams","New York Knicks",2016-01-03,2015,6480,1610612752,400828393,2,4,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",1,-1,0,0.00,"Tavares, Walter",4.30,13.10
"Tristan Thompson","Cleveland Cavaliers",2015-11-17,2015,6474,1610612739,400828047,1,0,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.60,"Drummond, Andre",3.30,15.70
"Tristan Thompson","Cleveland Cavaliers",2016-02-26,2015,6474,1610612739,400828751,1,9,00,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2015-11-10,2015,4262,1610612748,400827995,2,5,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.10,"Young, Nick",1.90,13.10
"Otto Porter","Washington Wizards",2016-02-18,2015,,1610612764,0,1,5,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",2,-1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2015-11-17,2015,6474,1610612739,400828047,1,1,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,"Drummond, Andre",2.80,14.90
"Andre Roberson","Oklahoma City Thunder",2015-12-19,2015,2530596,1610612760,400828285,2,4,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,"Hibbert, Roy",5.40,15.30
"Thomas Robinson","Brooklyn Nets",2015-11-20,2015,6618,1610612751,400828066,4,2,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",-2,0,0,0.00,"Jerebko, Jonas",5.70,17.80
"Jonas Valanciunas","Toronto Raptors",2016-01-09,2015,6477,1610612761,400828441,4,0,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,"Landry, Carl",4.60,9.40
"Hassan Whiteside","Miami Heat",2015-11-21,2015,4262,1610612748,400828080,3,9,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,"Noel, Nerlens",3.90,19.10
"Andre Roberson","Oklahoma City Thunder",2016-03-03,2015,2530596,1610612760,400828798,1,7,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2015-11-25,2015,4262,1610612748,400828105,2,0,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,"Drummond, Andre",4.30,17.90
"Nerlens Noel","Philadelphia 76ers",2016-02-26,2015,2991280,1610612755,400828749,3,9,34,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2015-11-05,2015,4262,1610612748,400827958,3,6,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,"Prince, Tayshaun",2.90,18.80
"Miles Plumlee","Milwaukee Bucks",2016-03-13,2015,6616,1610612749,400828872,4,8,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2015-11-19,2015,4262,1610612748,400828062,3,7,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,"Rondo, Rajon",4.10,9.60
"Tristan Thompson","Cleveland Cavaliers",2016-01-14,2015,6474,1610612739,400828477,1,0,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,"West, David",1.50,6.60
"Tristan Thompson","Cleveland Cavaliers",2015-11-25,2015,6474,1610612739,400828106,2,3,33,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,"DeRozan, DeMar",2.60,14.40
"Tristan Thompson","Cleveland Cavaliers",2016-01-14,2015,6474,1610612739,400828477,1,2,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,"Aldridge, LaMarcus",1.40,17.10
"Dwight Powell","Dallas Mavericks",2015-11-05,2015,2531367,1610612742,400827959,2,6,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.80,"Lamb, Jeremy",3.00,11.60
"Derrick Williams","New York Knicks",2016-03-13,2015,6480,1610612752,400828874,1,7,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2015-11-25,2015,4262,1610612748,400828105,1,5,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,"Morris, Marcus",1.00,14.20
"Thomas Robinson","Brooklyn Nets",2015-12-30,2015,6618,1610612751,400828362,1,2,37,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"Orlando Magic",8,10,0,0.00,"Harris, Tobias",3.20,14.00
"Tristan Thompson","Cleveland Cavaliers",2015-11-02,2015,6474,1610612739,400827933,3,4,39,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,1,0.70,"Grant, Jerami",4.20,23.60
