actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,actionId,gameId,ABS_TIME,SHOT_CLOCK_APPROX,SHOT_CLOCK_SOURCE,shotValue,contest_score,contest_label,contest_reasons
6,PT10M56.00S,1,1610612744,GSW,201939,Curry,S. Curry,12,31,3,Made,1,5.0,2.0,7,h,Curry 3' Cutting Finger Roll Layup Shot (2 PTS) (Bogut 1 AST),Made Shot,Cutting Finger Roll Layup Shot,1,7,21500003,64,2.0,made_fg(24),2,2,likely_contested,"distance: at-rim/very close, clock: late (<=5s)"
9,PT10M29.00S,1,1610612744,GSW,201939,Curry,S. Curry,-176,195,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,10,21500003,91,17.0,def_reb(24),3,-1,likely_open,subType: open-like
14,PT09M34.00S,1,1610612744,GSW,201939,Curry,S. Curry,20,9,2,Missed,1,,,0,h,MISS Curry 2' Layup,Missed Shot,Layup Shot,1,15,21500003,146,6.0,made_fg(24),2,1,borderline,distance: at-rim/very close
19,PT09M13.00S,1,1610612744,GSW,201939,Curry,S. Curry,-197,193,28,Made,1,10.0,7.0,17,h,Curry 28' 3PT Jump Shot (5 PTS),Made Shot,Jump Shot,1,20,21500003,167,18.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
36,PT07M11.00S,1,1610612744,GSW,201939,Curry,S. Curry,-4,8,1,Made,1,14.0,11.0,25,h,Curry 1' Running Layup (7 PTS),Made Shot,Running Layup Shot,1,39,21500003,289,18.0,turnover(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
38,PT06M45.00S,1,1610612744,GSW,201939,Curry,S. Curry,-11,259,26,Made,1,17.0,13.0,30,h,Curry 26' 3PT Jump Shot (10 PTS),Made Shot,Jump Shot,1,41,21500003,315,13.0,made_fg(24),3,-1,likely_open,subType: open-like
46,PT05M50.00S,1,1610612744,GSW,201939,Curry,S. Curry,-117,188,22,Made,1,21.0,15.0,36,h,Curry 22' Jump Shot (12 PTS),Made Shot,Jump Shot,1,46,21500003,370,10.0,made_fg(24),2,-1,likely_open,subType: open-like
55,PT05M03.00S,1,1610612744,GSW,201939,Curry,S. Curry,-179,228,29,Made,1,25.0,18.0,43,h,Curry 29' 3PT Jump Shot (15 PTS) (Barnes 1 AST),Made Shot,Jump Shot,1,54,21500003,417,20.0,def_reb(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
68,PT03M57.00S,1,1610612744,GSW,201939,Curry,S. Curry,89,239,26,Made,1,32.0,20.0,52,h,Curry 26' 3PT Step Back Jump Shot (20 PTS) (Green 2 AST),Made Shot,Step Back Jump shot,1,66,21500003,483,13.0,turnover(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
82,PT03M06.00S,1,1610612744,GSW,201939,Curry,S. Curry,-156,232,28,Missed,1,,,0,h,MISS Curry 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,77,21500003,534,8.0,final_ft(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
88,PT02M45.00S,1,1610612744,GSW,201939,Curry,S. Curry,-19,21,3,Made,1,34.0,23.0,57,h,Curry 3' Driving Finger Roll Layup (22 PTS),Made Shot,Driving Finger Roll Layup Shot,1,83,21500003,555,4.0,off_reb(14),2,2,likely_contested,"distance: at-rim/very close, clock: late (<=5s)"
116,PT00M45.40S,1,1610612744,GSW,201939,Curry,S. Curry,12,18,2,Made,1,39.0,32.0,71,h,Curry 2' Driving Layup (24 PTS) (Iguodala 1 AST),Made Shot,Driving Layup Shot,1,106,21500003,675,11.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
127,PT00M01.40S,1,1610612744,GSW,201939,Curry,S. Curry,-186,345,39,Missed,1,,,0,h,MISS Curry 39' 3PT Jump Shot,Missed Shot,Jump Shot,1,115,21500003,719,21.0,made_fg(24),3,-2,likely_open,"subType: open-like, distance: deep above-break 3 (>=27ft)"
208,PT06M03.00S,2,1610612744,GSW,201939,Curry,S. Curry,164,185,25,Missed,1,,,0,h,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,196,21500003,1077,8.0,keep_clock(16),3,-1,likely_open,subType: open-like
221,PT04M54.00S,2,1610612744,GSW,201939,Curry,S. Curry,-96,85,13,Made,1,50.0,44.0,94,h,Curry 13' Fadeaway Bank Shot (26 PTS),Made Shot,Fadeaway Bank shot,1,207,21500003,1146,11.0,off_reb(14),2,4,likely_contested,"subType: contested-like, text: pressure-move, distance: mid-range"
253,PT02M11.00S,2,1610612744,GSW,201939,Curry,S. Curry,166,174,24,Missed,1,,,0,h,MISS Curry 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,235,21500003,1309,5.0,made_fg(24),3,0,likely_open,"subType: open-like, clock: late (<=5s)"
261,PT01M16.00S,2,1610612744,GSW,201939,Curry,S. Curry,204,151,25,Missed,1,,,0,h,MISS Curry 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,243,21500003,1364,7.0,def_reb(24),3,3,likely_contested,"subType: contested-like, text: pressure-move"
277,PT00M00.80S,2,1610612744,GSW,201939,Curry,S. Curry,-9,8,1,Made,1,59.0,49.0,108,h,Curry 1' Driving Finger Roll Layup (29 PTS),Made Shot,Driving Finger Roll Layup Shot,1,258,21500003,1440,15.0,def_reb(24),2,1,borderline,distance: at-rim/very close
302,PT10M07.00S,3,1610612744,GSW,201939,Curry,S. Curry,10,11,1,Made,1,67.0,49.0,116,h,Curry 1' Driving Finger Roll Layup (33 PTS),Made Shot,Driving Finger Roll Layup Shot,1,281,21500003,1553,13.0,keep_clock(19),2,1,borderline,distance: at-rim/very close
333,PT07M35.00S,3,1610612744,GSW,201939,Curry,S. Curry,-7,13,1,Made,1,73.0,58.0,131,h,Curry 1' Cutting Finger Roll Layup Shot (37 PTS) (Bogut 5 AST),Made Shot,Cutting Finger Roll Layup Shot,1,308,21500003,1705,8.0,made_fg(24),2,1,borderline,distance: at-rim/very close
339,PT07M14.00S,3,1610612744,GSW,201939,Curry,S. Curry,42,61,7,Missed,1,,,0,h,MISS Curry 7' Jump Shot,Missed Shot,Jump Shot,1,313,21500003,1726,12.0,final_ft(24),2,-1,likely_open,subType: open-like
364,PT05M19.00S,3,1610612744,GSW,201939,Curry,S. Curry,161,203,26,Missed,1,,,0,h,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,334,21500003,1841,5.0,def_reb(24),3,0,likely_open,"subType: open-like, clock: late (<=5s)"
366,PT05M13.00S,3,1610612744,GSW,201939,Curry,S. Curry,20,23,3,Missed,1,,,0,h,MISS Curry 3' Jump Shot,Missed Shot,Jump Shot,1,336,21500003,1847,8.0,off_reb(14),2,0,likely_open,"subType: open-like, distance: at-rim/very close"
395,PT03M23.00S,3,1610612744,GSW,201939,Curry,S. Curry,184,170,25,Made,1,85.0,68.0,153,h,Curry 25' 3PT Jump Shot (40 PTS) (Iguodala 2 AST),Made Shot,Jump Shot,1,364,21500003,1957,12.0,off_reb(14),3,-1,likely_open,subType: open-like
524,PT05M21.00S,4,1610612744,GSW,201939,Curry,S. Curry,-122,43,13,Missed,1,,,0,h,MISS Curry 13' Floating Jump Shot,Missed Shot,Floating Jump shot,1,481,21500003,2559,11.0,turnover(24),2,3,likely_contested,"subType: contested-like, distance: mid-range"
550,PT02M30.00S,4,1610612744,GSW,201939,Curry,S. Curry,6,7,1,Missed,1,,,0,h,MISS Curry 1' Driving Layup,Missed Shot,Driving Layup Shot,1,507,21500003,2730,11.0,made_fg(24),2,3,likely_contested,"subType: contested-like, distance: at-rim/very close"
