player_name,exp_points,actual_points,shots,luck
Aaron Brooks,299.5411077534754,323,308,23.458892246524613
Aaron Gordon,281.7710325333171,260,254,-21.77103253331711
Aaron Harrison,8.531899663201541,8,9,-0.5318996632015409
Adreian Payne,102.52364152933603,86,114,-16.523641529336032
Al Horford,675.262297040821,726,634,50.737702959179046
Al Jefferson,406.82920184596895,484,497,77.17079815403105
AlFarouq Aminu,442.31138360326685,424,411,-18.311383603266847
Alan Anderson,38.01080801901917,36,40,-2.010808019019173
Alan Williams,11.271812669566152,12,14,0.7281873304338475
Alec Burks,186.47235760158893,192,193,5.527642398411075
Alex Len,600.7711416344679,513,603,-87.77114163446788
Alex Stepheson,12.505093686603757,4,16,-8.505093686603757
Alexis Ajinca,152.65155714424014,144,160,-8.651557144240144
Allen Crabbe,358.62640453701255,425,361,66.37359546298745
Alonzo Gee,158.89446641810355,155,122,-3.8944664181035478
Amare Stoudemire,171.17147662062746,190,164,18.82852337937254
Amir Johnson,467.4465575597283,492,415,24.55344244027168
Anderson Varejao,75.78271470493625,74,87,-1.7827147049362537
Andre Drummond,573.8942066443425,524,506,-49.89420664434249
Andre Iguodala,404.4684888507482,398,362,-6.4684888507482015
Andre Miller,91.6054506138022,108,91,16.394549386197795
Andre Roberson,244.63137305566477,227,203,-17.631373055664767
Andrea Bargnani,119.28593529688918,140,141,20.71406470311082
Andrew Bogut,222.04624853040286,224,164,1.9537514695971367
Andrew Goudelock,9.910435810273363,6,10,-3.9104358102733627
Andrew Nicholson,266.1330436053286,274,261,7.8669563946713765
Andrew Wiggins,850.6206841227232,818,894,-32.62068412272322
Anthony Bennett,14.889093602442626,10,13,-4.889093602442626
Anthony Brown,71.0229809284517,54,73,-17.0229809284517
Anthony Davis,619.5121593807083,691,624,71.48784061929166
Anthony Morrow,329.22552175592585,349,328,19.774478244074146
Anthony Tolliver,328.20581996612793,321,302,-7.205819966127933
Archie Goodwin,251.46409622768905,203,224,-48.464096227689055
Aron Baynes,207.54974483111187,218,209,10.450255168888134
Arron Afflalo,361.27691444584065,421,402,59.723085554159354
Austin Rivers,402.03255916633805,403,413,0.9674408336619535
Avery Bradley,522.792987497167,517,523,-5.792987497167019
Axel Toupane,58.89356699350535,48,56,-10.893566993505353
Ben McLemore,461.3591940949354,445,437,-16.35919409493539
Beno Udrih,123.67075969941823,133,140,9.329240300581773
Bismack Biyombo,192.27071898375365,188,147,-4.270718983753653
Blake Griffin,351.03061501008415,387,368,35.96938498991585
Boban Marjanovic,169.48286873768183,186,155,16.517131262318173
Bobby Portis,261.88682091037344,260,302,-1.8868209103734443
Bojan Bogdanovic,425.31036979192965,425,403,-0.3103697919296451
Boris Diaw,191.8685470746772,202,195,10.131452925322805
Bradley Beal,446.3674084348847,472,459,25.63259156511532
Brandan Wright,39.09978526694383,50,35,10.900214733056167
Branden Dawson,0.9464797827177401,2,1,1.05352021728226
Brandon Bass,206.81302474793245,230,166,23.186975252067555
Brandon Jennings,279.27889177014225,256,288,-23.278891770142252
Brandon Knight,881.6386714515415,862,894,-19.63867145154154
Brandon Rush,213.92404189498774,187,199,-26.924041894987738
Brian Roberts,103.62235287337805,91,112,-12.622352873378048
Briante Weber,27.57331088341308,20,31,-7.573310883413079
Brook Lopez,1053.8862640893872,1136,1111,82.11373591061283
Bruno Caboclo,6.281632196941418,3,7,-3.281632196941418
Bryce Cotton,3.3327029359388787,2,4,-1.3327029359388787
Bryce DejeanJones,48.68095043964994,54,48,5.319049560350059
CJ McCollum,1381.8203535757505,1452,1407,70.17964642424954
CJ Miles,625.0165880995474,612,587,-13.016588099547448
CJ Watson,92.5731993144637,79,105,-13.573199314463693
CJ Wilcox,44.346143773278015,43,47,-1.3461437732780155
Cameron Bairstow,15.529645075847386,19,19,3.4703549241526144
Cameron Payne,199.4264822971699,185,207,-14.426482297169912
Carl Landry,221.90814185085407,282,249,60.091858149145935
Carmelo Anthony,527.1209712641688,571,604,43.879028735831184
Caron Butler,20.554459751587267,19,25,-1.5544597515872667
Chandler Parsons,541.5558294853928,557,514,15.444170514607208
Channing Frye,228.47764215190423,254,212,25.522357848095766
