personId,playerName,total_shots,actual_points,exp_points,points_diff,pct_diff
203552,Curry,343,411,326.75743871107034,84.24256128892966,25.78129630599058
203999,Jokić,1364,1710,1428.3118544857439,281.6881455142561,19.72173985759418
1629660,Jerome,618,749,632.5174683815255,116.48253161847447,18.415672812926307
1630249,Krejčí,278,366,313.04590887018094,52.95409112981906,16.915704844662393
1630202,Pritchard,866,1073,923.435198829227,149.56480117077297,16.19654951369654
1627751,Poeltl,411,527,456.15460084544867,70.84539915455133,15.53097211198217
1628379,Kennard,431,525,459.57931533451244,65.42068466548756,14.23487527264307
1631165,Ellis,464,593,520.8155721859276,72.18442781407236,13.859856169919082
1641729,Sensabaugh,599,707,624.2640644200156,82.73593557998436,13.253334247824942
1631260,Green,424,519,459.0673590027983,59.9326409972017,13.055275934806124
202696,Vučević,1038,1229,1093.4570181625818,135.5429818374182,12.395810317910612
1630573,Hauser,474,594,529.5788969635755,64.42110303642448,12.164567311899939
201142,Durant,1124,1344,1200.1404485888338,143.8595514111662,11.986883011191809
203114,Middleton,337,368,329.6109327927289,38.389067207271125,11.64674679160098
1631216,Houstan,190,224,201.03936766676384,22.960632333236163,11.420906457599974
1628988,Holiday,268,306,274.91489753540577,31.08510246459423,11.307131651268314
201939,Curry,1258,1439,1294.949423186921,144.05057681307903,11.124022528875294
1630169,Haliburton,1006,1170,1053.0896957826938,116.91030421730625,11.101636799707402
203897,LaVine,1223,1489,1341.3052522528913,147.69474774710875,11.011262155755778
201145,Green,121,151,136.08001113431,14.919988865689987,10.96404909202517
1630314,Williams,188,220,198.31464632134376,21.68535367865624,10.934766913709899
1628973,Brunson,1200,1322,1193.6674028634204,128.33259713657958,10.751109506520413
1627751,Pöltl,168,200,180.9442191011029,19.055780898897098,10.531243098636226
203926,McDermott,117,144,130.3519762661049,13.648023733895087,10.4700514900663
1631204,Sasser,296,332,300.7297781449525,31.27022185504751,10.398078323720906
1641774,Vukcevic,242,278,252.03521385903807,25.964786140961934,10.302006105949458
1630288,Dowtin Jr.,230,252,228.6987883422692,23.30121165773079,10.188558470748776
203084,Barnes,683,850,771.4894289306146,78.51057106938538,10.176480242044114
1629012,Sexton,867,942,857.2343106629098,84.76568933709018,9.888263850393646
1630174,Nesmith,379,468,426.26374223390343,41.73625776609657,9.791158787229632
1629626,Bol,183,224,204.065491676814,19.93450832318601,9.768633820959135
1628983,Gilgeous-Alexander,1656,1883,1716.8325095448954,166.1674904551046,9.678718963212274
1627736,Beasley,1071,1241,1132.4049688227656,108.59503117723443,9.589761460735534
1629013,Shamet,230,274,250.2745076887925,23.72549231120749,9.47974994848844
1629639,Herro,1378,1553,1418.689746298428,134.31025370157204,9.467197417901483
1627742,Ingram,333,353,323.75672261631445,29.24327738368555,9.032457093955342
1629661,Johnson,747,869,797.3685147943504,71.6314852056496,8.983474270912412
1629634,Clarke,380,473,434.8446272143767,38.155372785623285,8.774463947136091
1641854,Porter Jr.,140,165,151.96836257314447,13.031637426855525,8.575174104966887
1630198,Joe,588,710,654.1272463625244,55.872753637475626,8.54155954098799
101108,Paul,583,638,587.8757811230648,50.124218876935174,8.526313759352623
201587,Batum,238,296,272.75832621441765,23.24167378558235,8.520945592640135
1642419,Battle,347,403,372.70797306272175,30.29202693727825,8.12752821279152
2544,James,1270,1451,1342.2385497022512,108.76145029774875,8.102983578592605
1629627,Williamson,508,579,535.673768042682,43.32623195731799,8.088159932495794
202692,Burks,271,318,294.3831953584444,23.616804641555575,8.022443124978086
1627750,Murray,1121,1218,1129.2365798949509,88.76342010504914,7.8604734455708165
1628991,Jackson Jr.,1213,1330,1233.7431931811523,96.25680681884774,7.802006878804756
1630559,Reaves,1037,1154,1070.8097045736108,83.19029542638918,7.768907713666811
202685,Valančiūnas,627,698,647.7950121538292,50.20498784617075,7.750123017776281
1626181,Powell,945,1093,1015.1461280598442,77.85387194015584,7.669220528550445
202681,Irving,945,1038,964.1086826928367,73.89131730716326,7.664202386265721
201569,Gordon,204,230,213.88322101872046,16.116778981279538,7.5352818943426865
1630539,Jones,109,175,162.8085510921863,12.191448907813708,7.48816566720379
