teamTricode,games,pyth_wins_exp,pyth_winpct_exp,wins_actual,losses_actual,diff_vs_actual,fg_only_wins,fg_only_losses,diff_vs_fg_only,pyth_wins_fg_only,pyth_winpct_fg_only,pts_scored_exp,pts_allowed_exp,pts_scored_actual,pts_allowed_actual
OKC,82,69.83,0.85,68,14,1.83,70.5,11.5,-0.67,73.12,0.89,8480.41,7485.53,8512,7322
BOS,82,60.76,0.74,61,21,-0.24,52.0,30.0,8.76,61.47,0.75,8193.95,7601.29,8283,7659
CLE,82,57.15,0.7,64,18,-6.85,61.5,20.5,-4.35,63.84,0.78,8462.85,7973.95,8607,7868
GSW,82,56.88,0.69,48,34,8.88,46.5,35.5,10.38,49.52,0.6,7984.47,7531.82,7948,7712
DET,82,54.79,0.67,44,38,10.79,49.0,33.0,5.79,51.16,0.62,8053.28,7660.55,8057,7771
HOU,82,54.15,0.66,52,30,2.15,48.0,34.0,6.15,53.49,0.65,8082.41,7707.41,8006,7654
ORL,82,52.05,0.63,41,41,11.05,40.5,41.5,11.55,40.72,0.5,7368.25,7083.16,7181,7188
NYK,82,51.84,0.63,51,31,0.84,49.0,33.0,2.84,49.57,0.6,8148.47,7839.26,8137,7894
MIN,82,50.47,0.62,49,33,1.47,46.0,36.0,4.47,51.17,0.62,7970.38,7707.1,7961,7678
MEM,82,46.08,0.56,48,34,-1.92,51.0,31.0,-4.92,55.9,0.68,8337.39,8190.26,8481,8032
LAC,82,45.41,0.55,50,32,-4.59,49.5,32.5,-4.09,51.79,0.63,7737.31,7618.99,7840,7544
IND,82,45.27,0.55,50,32,-4.73,45.0,37.0,0.27,47.47,0.58,8092.41,7972.52,8229,8044
SAC,82,45.1,0.55,40,42,5.1,38.5,43.5,6.6,43.81,0.53,7995.72,7881.94,8090,8011
POR,82,41.83,0.51,36,46,5.83,40.0,42.0,1.83,35.32,0.43,7915.9,7893.01,7707,7862
DEN,82,41.05,0.5,50,32,-8.95,40.0,42.0,1.05,46.74,0.57,8202.36,8200.86,8432,8264
ATL,82,40.75,0.5,40,42,0.75,40.0,42.0,0.75,38.43,0.47,8248.34,8255.42,8219,8293
PHX,82,36.62,0.45,36,46,0.62,29.5,52.5,7.12,33.55,0.41,7876.43,7997.96,7938,8149
LAL,82,36.33,0.44,50,32,-13.67,42.5,39.5,-6.17,37.64,0.46,7764.58,7892.53,7804,7896
MIA,82,35.51,0.43,37,45,-1.49,37.0,45.0,-1.49,36.47,0.44,7737.37,7887.7,7760,7884
TOR,82,35.5,0.43,30,52,5.5,45.5,36.5,-10.0,39.68,0.48,7877.44,8030.79,7797,7833
CHI,82,34.56,0.42,39,43,-4.44,40.0,42.0,-5.44,39.29,0.48,8386.95,8579.01,8352,8402
MIL,82,34.28,0.42,48,34,-13.72,43.0,39.0,-8.72,43.97,0.54,7908.83,8097.99,8051,7968
SAS,82,31.47,0.38,34,48,-2.53,30.5,51.5,0.97,28.86,0.35,8111.65,8390.75,8010,8367
BKN,82,31.31,0.38,26,56,5.31,31.0,51.0,0.31,26.08,0.32,7337.64,7594.42,7285,7693
DAL,82,28.04,0.34,39,43,-10.96,35.5,46.5,-7.46,33.56,0.41,7814.02,8188.02,7906,8116
NOP,82,26.83,0.33,21,61,5.83,28.5,53.5,-1.67,18.15,0.22,7881.13,8297.51,7650,8369
CHA,82,25.32,0.31,19,63,6.32,23.5,58.5,1.82,19.65,0.24,7515.56,7960.99,7349,7981
PHI,82,23.51,0.29,24,58,-0.49,27.0,55.0,-3.49,21.8,0.27,7576.49,8086.0,7549,8117
WAS,82,19.9,0.24,18,64,1.9,26.5,55.5,-6.6,16.18,0.2,7640.48,8287.4,7541,8336
UTA,82,16.22,0.2,17,65,-0.78,23.0,59.0,-6.78,17.1,0.21,7687.62,8495.99,7754,8529
