teamTricode,games,pyth_wins_exp,pyth_winpct_exp,wins_actual,losses_actual,diff_vs_actual,fg_only_wins,fg_only_losses,diff_vs_fg_only,pyth_wins_fg_only,pyth_winpct_fg_only,pts_scored_exp,pts_allowed_exp,pts_scored_actual,pts_allowed_actual
OKC,82,67.04,0.82,68,14,-0.96,70.5,11.5,-3.46,73.12,0.89,8309.65,7465.61,8512,7322
HOU,82,59.84,0.73,52,30,7.84,48.0,34.0,11.84,53.49,0.65,8217.68,7654.76,8006,7654
ORL,82,57.5,0.7,41,41,16.5,40.5,41.5,17.0,40.72,0.5,7557.34,7110.58,7181,7188
CLE,82,55.18,0.67,64,18,-8.82,61.5,20.5,-6.32,63.84,0.78,8337.74,7919.03,8607,7868
GSW,82,54.14,0.66,48,34,6.14,46.5,35.5,7.64,49.52,0.6,7963.16,7594.02,7948,7712
BOS,82,52.91,0.65,61,21,-8.09,52.0,30.0,0.91,61.47,0.75,7927.93,7596.37,8283,7659
DET,82,52.15,0.64,44,38,8.15,49.0,33.0,3.15,51.16,0.62,7995.62,7683.33,8057,7771
TOR,82,51.38,0.63,30,52,21.38,45.5,36.5,5.88,39.68,0.48,8314.9,8013.01,7797,7833
MIN,82,51.33,0.63,49,33,2.33,46.0,36.0,5.33,51.17,0.62,7924.92,7638.82,7961,7678
POR,82,48.46,0.59,36,46,12.46,40.0,42.0,8.46,35.32,0.43,8118.68,7908.16,7707,7862
NYK,82,46.79,0.57,51,31,-4.21,49.0,33.0,-2.21,49.57,0.6,8016.41,7855.16,8137,7894
MEM,82,46.11,0.56,48,34,-1.89,51.0,31.0,-4.89,55.9,0.68,8302.67,8155.46,8481,8032
ATL,82,44.96,0.55,40,42,4.96,40.0,42.0,4.96,38.43,0.47,8387.23,8271.83,8219,8293
BKN,82,42.96,0.52,26,56,16.96,31.0,51.0,11.96,26.08,0.32,7636.69,7584.72,7285,7693
LAC,82,39.92,0.49,50,32,-10.08,49.5,32.5,-9.58,51.79,0.63,7574.19,7602.66,7840,7544
DEN,82,39.49,0.48,50,32,-10.51,40.0,42.0,-0.51,46.74,0.57,8096.83,8139.66,8432,8264
IND,82,35.78,0.44,50,32,-14.22,45.0,37.0,-9.22,47.47,0.58,7907.61,8053.57,8229,8044
CHI,82,35.23,0.43,39,43,-3.77,40.0,42.0,-4.77,39.29,0.48,8396.62,8568.44,8352,8402
MIA,82,35.06,0.43,37,45,-1.94,37.0,45.0,-1.94,36.47,0.44,7742.38,7905.35,7760,7884
SAC,82,34.85,0.43,40,42,-5.15,38.5,43.5,-3.65,43.81,0.53,7710.77,7878.96,8090,8011
CHA,82,34.77,0.42,19,63,15.77,23.5,58.5,11.27,19.65,0.24,7840.63,8014.09,7349,7981
SAS,82,33.33,0.41,34,48,-0.67,30.5,51.5,2.83,28.86,0.35,8175.11,8399.13,8010,8367
LAL,82,31.1,0.38,50,32,-18.9,42.5,39.5,-11.4,37.64,0.46,7627.55,7900.86,7804,7896
NOP,82,30.82,0.38,21,61,9.82,28.5,53.5,2.32,18.15,0.22,7983.49,8278.01,7650,8369
MIL,82,30.6,0.37,48,34,-17.4,43.0,39.0,-12.4,43.97,0.54,7800.09,8094.33,8051,7968
PHI,82,28.67,0.35,24,58,4.67,27.0,55.0,1.67,21.8,0.27,7803.92,8157.57,7549,8117
DAL,82,27.82,0.34,39,43,-11.18,35.5,46.5,-7.68,33.56,0.41,7807.25,8187.84,7906,8116
WAS,82,24.2,0.3,18,64,6.2,26.5,55.5,-2.3,16.18,0.2,7873.15,8378.25,7541,8336
PHX,82,21.83,0.27,36,46,-14.17,29.5,52.5,-7.67,33.55,0.41,7481.9,8043.79,7938,8149
UTA,82,17.05,0.21,17,65,0.05,23.0,59.0,-5.95,17.1,0.21,7769.67,8548.38,7754,8529
