teamTricode,games,pyth_wins_exp,pyth_winpct_exp,wins_actual,losses_actual,diff_vs_actual,fg_only_wins,fg_only_losses,diff_vs_fg_only,pyth_wins_fg_only,pyth_winpct_fg_only,pts_scored_exp,pts_allowed_exp,pts_scored_actual,pts_allowed_actual
OKC,82,68.42,0.83,68,14,0.42,70.5,11.5,-2.08,73.12,0.89,8399.68,7483.43,8512,7322
BOS,82,59.62,0.73,61,21,-1.38,52.0,30.0,7.62,61.47,0.75,8125.92,7576.51,8283,7659
CLE,82,58.49,0.71,64,18,-5.51,61.5,20.5,-3.01,63.84,0.78,8462.52,7929.1,8607,7868
HOU,82,57.77,0.7,52,30,5.77,48.0,34.0,9.77,53.49,0.65,8173.96,7682.04,8006,7654
GSW,82,54.18,0.66,48,34,6.18,46.5,35.5,7.68,49.52,0.6,7956.48,7586.48,7948,7712
DET,82,52.72,0.64,44,38,8.72,49.0,33.0,3.72,51.16,0.62,8002.67,7673.49,8057,7771
ORL,82,51.71,0.63,41,41,10.71,40.5,41.5,11.21,40.72,0.5,7379.1,7102.42,7181,7188
MIN,82,50.71,0.62,49,33,1.71,46.0,36.0,4.71,51.17,0.62,7926.1,7657.51,7961,7678
NYK,82,48.04,0.59,51,31,-2.96,49.0,33.0,-0.96,49.57,0.6,8035.12,7838.47,8137,7894
MEM,82,47.95,0.58,48,34,-0.05,51.0,31.0,-3.05,55.9,0.68,8372.83,8170.65,8481,8032
LAC,82,46.92,0.57,50,32,-3.08,49.5,32.5,-2.58,51.79,0.63,7776.95,7617.14,7840,7544
SAC,82,46.3,0.56,40,42,6.3,38.5,43.5,7.8,43.81,0.53,8003.94,7856.62,8090,8011
ATL,82,45.38,0.55,40,42,5.38,40.0,42.0,5.38,38.43,0.47,8379.6,8252.31,8219,8293
IND,82,42.64,0.52,50,32,-7.36,45.0,37.0,-2.36,47.47,0.58,8079.52,8033.5,8229,8044
DEN,82,41.5,0.51,50,32,-8.5,40.0,42.0,1.5,46.74,0.57,8161.92,8147.7,8432,8264
POR,82,39.38,0.48,36,46,3.38,40.0,42.0,-0.62,35.32,0.43,7889.95,7934.63,7707,7862
TOR,82,38.35,0.47,30,52,8.35,45.5,36.5,-7.15,39.68,0.48,7957.33,8031.34,7797,7833
BKN,82,37.84,0.46,26,56,11.84,31.0,51.0,6.84,26.08,0.32,7508.95,7592.28,7285,7693
MIA,82,35.84,0.44,37,45,-1.16,37.0,45.0,-1.16,36.47,0.44,7754.13,7895.42,7760,7884
CHI,82,35.57,0.43,39,43,-3.43,40.0,42.0,-4.43,39.29,0.48,8399.61,8561.09,8352,8402
PHX,82,33.66,0.41,36,46,-2.34,29.5,52.5,4.16,33.55,0.41,7829.68,8034.77,7938,8149
LAL,82,32.71,0.4,50,32,-17.29,42.5,39.5,-9.79,37.64,0.46,7681.64,7909.84,7804,7896
SAS,82,32.34,0.39,34,48,-1.66,30.5,51.5,1.84,28.86,0.35,8160.71,8414.53,8010,8367
MIL,82,31.85,0.39,48,34,-16.15,43.0,39.0,-11.15,43.97,0.54,7844.6,8103.29,8051,7968
DAL,82,27.3,0.33,39,43,-11.7,35.5,46.5,-8.2,33.56,0.41,7811.39,8209.08,7906,8116
PHI,82,26.32,0.32,24,58,2.32,27.0,55.0,-0.68,21.8,0.27,7709.77,8133.59,7549,8117
NOP,82,25.61,0.31,21,61,4.61,28.5,53.5,-2.89,18.15,0.22,7841.11,8296.04,7650,8369
CHA,82,23.07,0.28,19,63,4.07,23.5,58.5,-0.43,19.65,0.24,7489.8,8008.63,7349,7981
WAS,82,20.81,0.25,18,64,2.81,26.5,55.5,-5.69,16.18,0.2,7736.42,8356.12,7541,8336
UTA,82,17.4,0.21,17,65,0.4,23.0,59.0,-5.6,17.1,0.21,7772.77,8536.16,7754,8529
