gameId,teamId,teamTricode,exp_points,actual_points,shots,actual_allowed,exp_allowed,actual_win
22400001,1610612737,ATL,110.52285575354472,110,99,94,91.8712008765433,1
22400001,1610612738,BOS,91.8712008765433,94,75,110,110.52285575354472,0
22400002,1610612748,MIA,100.18446506047621,111,101,99,91.10597765585408,1
22400002,1610612765,DET,91.10597765585408,99,92,111,100.18446506047621,0
22400003,1610612753,ORL,100.34188655856997,99,93,81,77.33750136313029,1
22400003,1610612766,CHA,77.33750136313029,81,84,99,100.34188655856997,0
22400004,1610612752,NYK,99.49003366264515,97,89,76,88.04265922028571,1
22400004,1610612755,PHI,88.04265922028571,76,83,97,99.49003366264515,0
22400005,1610612749,MIL,96.25837723119184,92,94,69,85.49346255185083,1
22400005,1610612761,TOR,85.49346255185083,69,86,92,96.25837723119184,0
22400006,1610612756,PHX,107.0802884628065,104,86,105,108.08535381313413,0
22400006,1610612762,UTA,108.08535381313413,105,92,104,107.0802884628065,1
22400007,1610612742,DAL,86.09873110754415,99,84,104,99.46372514450923,0
22400007,1610612744,GSW,99.46372514450923,104,94,99,86.09873110754415,1
22400008,1610612750,MIN,90.70029709348455,87,73,104,103.55242615751922,0
22400008,1610612757,POR,103.55242615751922,104,84,87,90.70029709348455,1
22400009,1610612748,MIA,104.19744496792555,105,87,102,99.51156048290431,1
22400009,1610612754,IND,99.51156048290431,102,86,105,104.19744496792555,0
22400010,1610612753,ORL,72.7364595932886,79,78,68,68.37429009750485,1
22400010,1610612755,PHI,68.37429009750485,68,72,79,72.7364595932886,0
22400011,1610612761,TOR,90.0215558449272,78,97,86,90.19423518097028,0
22400011,1610612765,DET,90.19423518097028,86,95,78,90.0215558449272,1
22400012,1610612737,ATL,101.88330099964514,104,98,101,91.78760364581831,1
22400012,1610612764,WAS,91.78760364581831,101,106,104,101.88330099964514,0
22400013,1610612739,CLE,126.9444766161032,123,93,110,103.27281516138464,1
22400013,1610612741,CHI,103.27281516138464,110,88,123,126.9444766161032,0
22400014,1610612751,BKN,98.6527701918967,97,89,101,99.74557140097022,0
22400014,1610612752,NYK,99.74557140097022,101,83,97,98.6527701918967,1
22400015,1610612747,LAL,114.823443305213,102,88,103,104.53539050091058,0
