gameId,teamId,teamTricode,exp_points,actual_points,shots,actual_allowed,exp_allowed,fg_only_win
22400001,1610612737,ATL,100.34580081220713,110,99,94,80.21347626238965,1.0
22400001,1610612738,BOS,80.21347626238965,94,75,110,100.34580081220713,0.0
22400002,1610612748,MIA,103.54573948514397,111,101,99,98.68721770882456,1.0
22400002,1610612765,DET,98.68721770882456,99,92,111,103.54573948514397,0.0
22400003,1610612753,ORL,100.0931248797923,99,93,81,88.32401338131842,1.0
22400003,1610612766,CHA,88.32401338131842,81,84,99,100.0931248797923,0.0
22400004,1610612752,NYK,102.00101935022325,97,89,76,88.44462909841646,1.0
22400004,1610612755,PHI,88.44462909841646,76,83,97,102.00101935022325,0.0
22400005,1610612749,MIL,109.8446204850338,92,94,69,94.04282321908079,1.0
22400005,1610612761,TOR,94.04282321908079,69,86,92,109.8446204850338,0.0
22400006,1610612756,PHX,93.6038207537607,104,86,105,97.78204398471811,0.0
22400006,1610612762,UTA,97.78204398471811,105,92,104,93.6038207537607,1.0
22400007,1610612742,DAL,88.82079742140998,99,84,104,100.30752235106971,0.0
22400007,1610612744,GSW,100.30752235106971,104,94,99,88.82079742140998,1.0
22400008,1610612750,MIN,82.26704183378914,87,73,104,94.66552517451487,0.0
22400008,1610612757,POR,94.66552517451487,104,84,87,82.26704183378914,1.0
22400009,1610612748,MIA,95.10381359247039,105,87,102,89.73341730004216,1.0
22400009,1610612754,IND,89.73341730004216,102,86,105,95.10381359247039,0.0
22400010,1610612753,ORL,82.26209354851419,79,78,68,71.82169181564578,1.0
22400010,1610612755,PHI,71.82169181564578,68,72,79,82.26209354851419,0.0
22400011,1610612761,TOR,108.049592964385,78,97,86,103.15395501881792,0.0
22400011,1610612765,DET,103.15395501881792,86,95,78,108.049592964385,1.0
22400012,1610612737,ATL,111.98410693436072,104,98,101,118.24979309410415,1.0
22400012,1610612764,WAS,118.24979309410415,101,106,104,111.98410693436072,0.0
22400013,1610612739,CLE,110.56371666682676,123,93,110,101.07321620017055,1.0
22400013,1610612741,CHI,101.07321620017055,110,88,123,110.56371666682676,0.0
22400014,1610612751,BKN,97.66721030732381,97,89,101,92.89928284885173,0.0
22400014,1610612752,NYK,92.89928284885173,101,83,97,97.66721030732381,1.0
22400015,1610612747,LAL,98.1699393229209,102,88,103,97.21325946756471,0.0
22400015,1610612759,SAS,97.21325946756471,103,88,102,98.1699393229209,1.0
22400016,1610612745,HOU,100.27674304455422,111,95,78,88.73733537412149,1.0
22400016,1610612746,LAC,88.73733537412149,78,90,111,100.27674304455422,0.0
22400017,1610612740,NOP,91.80292622907722,85,87,84,99.16896315608172,1.0
22400017,1610612743,DEN,99.16896315608172,84,87,85,91.80292622907722,0.0
22400018,1610612756,PHX,76.81394268592987,53,75,82,102.07363561031718,0.0
22400018,1610612760,OKC,102.07363561031718,82,91,53,76.81394268592987,1.0
22400019,1610612744,GSW,103.87540903682802,105,98,91,106.34843322470624,1.0
22400019,1610612763,MEM,106.34843322470624,91,103,105,103.87540903682802,0.0
22400020,1610612750,MIN,104.85039257354121,116,101,108,95.10103639767308,1.0
22400020,1610612758,SAC,95.10103639767308,108,96,116,104.85039257354121,0.0
22400021,1610612738,BOS,86.7938192064931,110,86,102,95.01853933225455,1.0
22400021,1610612739,CLE,95.01853933225455,102,93,110,86.7938192064931,0.0
22400022,1610612751,BKN,93.94379497279434,102,85,96,86.10941958836669,1.0
22400022,1610612766,CHA,86.10941958836669,96,82,102,93.94379497279434,0.0
22400023,1610612743,DEN,110.3104781781131,108,100,91,114.15654587217499,1.0
22400023,1610612763,MEM,114.15654587217499,91,103,108,110.3104781781131,0.0
22400024,1610612740,NOP,82.6981379678645,73,78,112,107.77136167166964,0.0
22400024,1610612742,DAL,107.77136167166964,112,94,73,82.6981379678645,1.0
22400025,1610612759,SAS,87.20100936268092,97,83,98,109.97334508472744,0.0
22400025,1610612760,OKC,109.97334508472744,98,100,97,87.20100936268092,1.0
22400026,1610612747,LAL,87.68170498848036,98,76,102,95.2551446571783,0.0
