gameId,teamId,teamTricode,exp_points,actual_points,shots,actual_allowed,exp_allowed,fg_only_win
22400001,1610612737,ATL,100.17029575405071,110,99,94,81.60412637110922,1.0
22400001,1610612738,BOS,81.60412637110922,94,75,110,100.17029575405071,0.0
22400002,1610612748,MIA,103.79933767965652,111,101,99,98.7221352038039,1.0
22400002,1610612765,DET,98.7221352038039,99,92,111,103.79933767965652,0.0
22400003,1610612753,ORL,97.3420458215196,99,93,81,83.6380636223604,1.0
22400003,1610612766,CHA,83.6380636223604,81,84,99,97.3420458215196,0.0
22400004,1610612752,NYK,102.15933879304472,97,89,76,86.81583649913968,1.0
22400004,1610612755,PHI,86.81583649913968,76,83,97,102.15933879304472,0.0
22400005,1610612749,MIL,110.82341272177034,92,94,69,90.1851464930674,1.0
22400005,1610612761,TOR,90.1851464930674,69,86,92,110.82341272177034,0.0
22400006,1610612756,PHX,97.37454136005798,104,86,105,97.90939942000352,0.0
22400006,1610612762,UTA,97.90939942000352,105,92,104,97.37454136005798,1.0
22400007,1610612742,DAL,88.70684848041851,99,84,104,100.43543421614163,0.0
22400007,1610612744,GSW,100.43543421614163,104,94,99,88.70684848041851,1.0
22400008,1610612750,MIN,82.17195766808756,87,73,104,92.35450944407434,0.0
22400008,1610612757,POR,92.35450944407434,104,84,87,82.17195766808756,1.0
22400009,1610612748,MIA,95.21845896479219,105,87,102,94.14609194580336,1.0
22400009,1610612754,IND,94.14609194580336,102,86,105,95.21845896479219,0.0
22400010,1610612753,ORL,79.48646961999138,79,78,68,71.81322622461575,1.0
22400010,1610612755,PHI,71.81322622461575,68,72,79,79.48646961999138,0.0
22400011,1610612761,TOR,99.98401619111502,78,97,86,103.73702594855502,0.0
22400011,1610612765,DET,103.73702594855502,86,95,78,99.98401619111502,1.0
22400012,1610612737,ATL,111.82156960127365,104,98,101,116.8949433016298,1.0
22400012,1610612764,WAS,116.8949433016298,101,106,104,111.82156960127365,0.0
22400013,1610612739,CLE,111.89298325176264,123,93,110,101.7089577259515,1.0
22400013,1610612741,CHI,101.7089577259515,110,88,123,111.89298325176264,0.0
22400014,1610612751,BKN,96.63623644179447,97,89,101,93.21359028542851,0.0
22400014,1610612752,NYK,93.21359028542851,101,83,97,96.63623644179447,1.0
22400015,1610612747,LAL,98.73039310621864,102,88,103,97.19030079821476,0.0
22400015,1610612759,SAS,97.19030079821476,103,88,102,98.73039310621864,1.0
22400016,1610612745,HOU,100.1449600847588,111,95,78,91.48424683787293,1.0
22400016,1610612746,LAC,91.48424683787293,78,90,111,100.1449600847588,0.0
22400017,1610612740,NOP,90.40651829263957,85,87,84,99.61982594309974,1.0
22400017,1610612743,DEN,99.61982594309974,84,87,85,90.40651829263957,0.0
22400018,1610612756,PHX,80.68264650264813,53,75,82,103.27313195808716,0.0
22400018,1610612760,OKC,103.27313195808716,82,91,53,80.68264650264813,1.0
22400019,1610612744,GSW,103.46740878433228,105,98,91,106.43463826155886,1.0
22400019,1610612763,MEM,106.43463826155886,91,103,105,103.46740878433228,0.0
22400020,1610612750,MIN,104.57161277130226,116,101,108,100.26875692567981,1.0
22400020,1610612758,SAC,100.26875692567981,108,96,116,104.57161277130226,0.0
22400021,1610612738,BOS,89.43749951001482,110,86,102,96.63117045246356,1.0
22400021,1610612739,CLE,96.63117045246356,102,93,110,89.43749951001482,0.0
22400022,1610612751,BKN,92.54042432451371,102,85,96,82.44483612681037,1.0
22400022,1610612766,CHA,82.44483612681037,96,82,102,92.54042432451371,0.0
22400023,1610612743,DEN,110.80854834531523,108,100,91,115.03992248121988,1.0
22400023,1610612763,MEM,115.03992248121988,91,103,108,110.80854834531523,0.0
22400024,1610612740,NOP,81.45302956809903,73,78,112,107.53859333241424,0.0
